"INS_INF","INFORMANTE","RESPONSAVEL_BP","COLETOR","NM_INFORMANTE","INSUMO","NM_INSUMO","CARACT_INSUMO","MARCA","PAIS","REGIAO","UF","MUNICIPIO","COTACAO","SAZONALIDADE","TIPO_ESTABELECIMENTO","TP_PRECO","PERIODICIDADE","JOB_UTILIZADO","ITEM_UTILIZADO","DATA_PRECO","PRECO"
499162,18012,KEMAT,KEMAT,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ICC,"101",2023-10-30 00:00:00.000,132.95
499162,18012,KEMAT,KEMAT,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ICC,"101",2023-07-26 00:00:00.000,132.95
499162,18012,KEMAT,KEMAT,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ESTVDF,"306659",2023-06-30 00:00:00.000,132.95
499162,18012,KEMAT,KEMAT,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ESTVDF,"306659",2023-05-30 00:00:00.000,132.95
499162,18012,KEMAT,GUCAB,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,EPEPRECO,"210253",2022-10-26 00:00:00.000,132.95
499162,18012,KEMAT,MACAN,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ICC,"101",2022-08-22 00:00:00.000,132.95
499162,18012,KEMAT,MACAN,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ESTVDF,"306659",2022-08-22 00:00:00.000,132.95
499162,18012,KEMAT,MAANN,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ESTVDF,"306659",2022-07-22 00:00:00.000,132.95
499162,18012,KEMAT,MAANN,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,EPEPRECO,"210253",2022-06-28 00:00:00.000,132.9
499162,18012,KEMAT,RAPIM,PISÃO INDUSTRIA E COMERCIO DE PERFILADOS LIMITADA,19457,VERGALHÃO DE AÇO CA50,"1/2 (12,5MM) - VARA C/12M PESO 11,52KG",,BR,CO,DF,BSA,U,,DISTRIBUIDORAS E LOJAS DE PROD. METALÚRGICOS E FERRAGENS,VX,M30,ICC,"101",2021-12-22 00:00:00.000,132.95
